Attrition,Employee Number,emp no,Gender,Job Role,Over Time,Job Satisfaction,Years At Company,Education,Environment Satisfaction,Hourly Rate,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,19,STAFF-19,Male,Laboratory Technician,Yes,3,4,Bachelor's Degree,3,50,1,3,2028,12947,5,14,3,2,80,0,6,3,4,2,0,3
No,20,STAFF-20,Female,Manufacturing Director,No,1,10,Master's Degree,2,51,3,1,9980,10195,1,11,3,3,80,1,10,3,10,9,8,8
No,21,STAFF-21,Male,Research Scientist,Yes,2,6,Associates Degree,1,80,1,2,3298,15053,0,12,3,4,80,2,7,2,6,2,0,5
No,22,STAFF-22,Male,Laboratory Technician,Yes,4,1,Associates Degree,4,96,1,4,2935,7324,1,13,3,2,80,2,1,2,1,0,0,0
No,23,STAFF-23,Female,Manager,No,4,25,Master's Degree,1,78,4,4,15427,22021,2,16,3,3,80,0,31,3,25,8,3,7
No,24,STAFF-24,Male,Research Scientist,Yes,4,3,Bachelor's Degree,4,45,1,4,3944,4306,5,11,3,3,80,0,6,3,3,2,1,2
No,26,STAFF-26,Female,Manufacturing Director,No,3,4,Associates Degree,1,96,2,3,4011,8232,0,18,3,4,80,1,5,2,4,2,1,3
Yes,27,STAFF-27,Male,Sales Representative,No,1,5,Master's Degree,3,82,1,1,3407,6986,7,23,4,2,80,0,10,3,5,3,0,3
No,28,STAFF-28,Female,Research Director,No,2,12,Master's Degree,1,53,3,2,11994,21293,0,11,3,3,80,0,13,3,12,6,2,11
No,30,STAFF-30,Male,Research Scientist,No,4,0,Associates Degree,3,96,1,4,1232,19281,1,14,3,4,80,0,0,3,0,0,0,0
Yes,31,STAFF-31,Male,Research Scientist,No,1,4,High School,2,83,1,1,2960,17102,2,11,3,3,80,0,8,3,4,2,1,3
No,32,STAFF-32,Female,Manager,No,3,14,Bachelor's Degree,3,58,5,3,19094,10735,4,11,3,4,80,1,26,2,14,13,4,8
Yes,33,STAFF-33,Female,Research Scientist,Yes,1,10,High School,2,72,1,1,3919,4681,1,22,4,2,80,0,10,3,10,2,6,7
No,35,STAFF-35,Male,Sales Executive,No,2,9,Master's Degree,3,48,2,2,6825,21173,0,11,3,4,80,1,10,3,9,7,4,2
No,36,STAFF-36,Female,Healthcare Representative,No,4,22,Master's Degree,1,42,3,4,10248,2094,3,14,3,4,80,1,24,3,22,6,5,17
No,38,STAFF-38,Female,Manager,No,1,2,Master's Degree,2,83,5,1,18947,22822,3,12,3,4,80,0,22,2,2,2,2,1
No,39,STAFF-39,Male,Laboratory Technician,No,4,1,Bachelor's Degree,3,78,1,4,2496,6670,4,11,3,4,80,0,7,3,1,1,0,0
No,40,STAFF-40,Male,Healthcare Representative,Yes,4,4,Master's Degree,4,41,2,4,6465,19121,2,13,3,4,80,0,9,4,4,2,1,3
No,41,STAFF-41,Male,Laboratory Technician,No,3,10,Associates Degree,4,83,1,3,2206,16117,1,13,3,1,80,0,10,3,10,0,1,8
Yes,42,STAFF-42,Male,Sales Representative,No,4,1,Bachelor's Degree,4,56,2,4,2086,3335,3,14,3,3,80,1,19,4,1,0,0,0
Yes,45,STAFF-45,Male,Research Scientist,Yes,4,2,Bachelor's Degree,2,61,1,4,2293,3020,2,16,3,1,80,1,6,2,2,0,2,0
No,46,STAFF-46,Female,Research Scientist,No,3,5,Associates Degree,4,72,1,3,2645,21923,1,12,3,4,80,2,6,2,5,3,1,4
Yes,47,STAFF-47,Male,Sales Representative,Yes,3,3,Associates Degree,1,86,1,3,2683,3810,1,14,3,3,80,0,3,3,3,2,0,2
No,49,STAFF-49,Female,Sales Representative,No,4,2,Bachelor's Degree,4,97,1,4,2014,9687,1,13,3,1,80,0,2,3,2,2,2,2
No,51,STAFF-51,Female,Research Scientist,Yes,1,1,Master's Degree,2,82,1,1,3419,13072,9,14,3,4,80,1,6,4,1,1,0,0
No,52,STAFF-52,Female,Sales Executive,No,1,5,Bachelor's Degree,3,42,2,1,5376,3193,2,19,3,1,80,2,10,3,5,3,1,3
No,53,STAFF-53,Male,Laboratory Technician,No,4,1,Associates Degree,3,75,1,4,1951,10910,1,12,3,3,80,1,1,3,1,0,0,0
No,54,STAFF-54,Female,Laboratory Technician,No,1,1,Master's Degree,4,33,1,1,2341,19715,1,13,3,4,80,1,1,3,1,0,0,0
Yes,55,STAFF-55,Male,Laboratory Technician,No,3,1,Bachelor's Degree,1,48,1,3,2293,10558,1,12,3,3,80,0,1,2,1,0,0,1
No,56,STAFF-56,Male,Sales Executive,No,3,9,Bachelor's Degree,4,37,3,3,8726,2975,1,15,3,4,80,0,9,3,9,8,1,7
No,57,STAFF-57,Female,Laboratory Technician,No,4,12,Associates Degree,3,58,2,4,4011,10781,1,23,4,4,80,0,12,3,12,8,3,7
Yes,58,STAFF-58,Female,Research Director,No,3,22,Bachelor's Degree,2,49,5,3,19545,16280,1,12,3,4,80,0,23,3,22,15,15,8
No,60,STAFF-60,Male,Sales Executive,No,3,9,Master's Degree,2,72,2,3,4568,10034,0,20,4,3,80,0,10,3,9,5,8,7
No,61,STAFF-61,Male,Research Scientist,No,2,1,Associates Degree,2,73,1,2,3022,10227,4,21,4,1,80,0,8,3,1,0,0,0
No,62,STAFF-62,Male,Sales Executive,Yes,4,9,Master's Degree,1,98,2,4,5772,20445,4,21,4,3,80,0,14,3,9,6,0,8
No,63,STAFF-63,Male,Laboratory Technician,No,4,1,High School,4,36,1,4,2269,4892,1,19,3,4,80,0,1,3,1,0,0,1
Yes,64,STAFF-64,Male,Laboratory Technician,Yes,3,1,Associates Degree,1,98,3,3,5381,19294,9,13,3,4,80,0,23,3,1,0,0,0
Yes,65,STAFF-65,Male,Laboratory Technician,Yes,3,2,Master's Degree,3,50,1,3,3441,11179,1,13,3,3,80,0,2,2,2,2,2,2
No,68,STAFF-68,Female,Sales Executive,Yes,1,4,Doctoral Degree,2,75,2,1,5454,4009,5,21,4,3,80,1,9,2,4,3,1,3
No,70,STAFF-70,Male,Healthcare Representative,Yes,1,4,Associates Degree,3,79,3,1,9884,8302,2,13,3,3,80,1,10,3,4,0,2,3
No,72,STAFF-72,Female,Sales Executive,Yes,4,2,Bachelor's Degree,3,47,2,4,4157,21436,7,19,3,3,80,1,5,2,2,2,0,0
No,73,STAFF-73,Female,Research Director,Yes,4,15,Associates Degree,1,98,3,4,13458,15146,1,12,3,3,80,0,15,3,15,14,8,12
No,74,STAFF-74,Male,Sales Executive,No,1,9,Doctoral Degree,2,71,3,1,9069,11031,1,22,4,4,80,1,9,2,9,8,1,8
No,75,STAFF-75,Female,Laboratory Technician,Yes,1,2,Master's Degree,3,30,1,1,4014,16002,3,15,3,3,80,1,4,3,2,2,2,2
No,76,STAFF-76,Male,Laboratory Technician,No,4,7,Master's Degree,4,48,2,4,5915,9528,3,22,4,4,80,1,10,2,7,7,1,7
No,77,STAFF-77,Male,Manufacturing Director,No,3,7,Master's Degree,1,51,2,3,5993,2689,1,18,3,3,80,1,7,4,7,5,0,7
No,78,STAFF-78,Male,Manufacturing Director,Yes,4,9,Bachelor's Degree,1,33,2,4,6162,10877,1,22,4,2,80,1,9,3,9,8,7,8
No,79,STAFF-79,Female,Laboratory Technician,No,4,10,Doctoral Degree,4,50,2,4,2406,5456,1,11,3,4,80,0,10,3,10,3,9,9
No,80,STAFF-80,Female,Research Director,Yes,3,27,Associates Degree,2,43,5,3,18740,16701,5,12,3,4,80,1,29,2,27,3,13,8
No,81,STAFF-81,Female,Sales Executive,No,1,21,Bachelor's Degree,1,99,3,1,7637,2354,7,11,3,4,80,0,28,2,21,16,7,9
No,83,STAFF-83,Female,Healthcare Representative,No,3,17,Bachelor's Degree,3,59,3,3,10096,8202,1,13,3,2,80,3,17,3,17,14,12,8
No,84,STAFF-84,Female,Manager,Yes,3,5,Bachelor's Degree,4,33,4,3,14756,19730,2,14,3,3,80,3,21,3,5,0,0,2
No,85,STAFF-85,Male,Manufacturing Director,No,2,6,Bachelor's Degree,2,95,2,2,6499,22656,1,13,3,3,80,0,6,3,6,5,0,3
No,86,STAFF-86,Male,Research Scientist,No,1,1,Bachelor's Degree,2,59,3,1,9724,18787,2,17,3,3,80,1,25,3,1,0,0,0
No,88,STAFF-88,Male,Research Scientist,No,1,3,Bachelor's Degree,2,79,1,1,2194,5868,4,13,3,4,80,1,5,2,3,2,1,2
Yes,90,STAFF-90,Male,Research Scientist,Yes,3,1,Bachelor's Degree,4,79,1,3,3388,21777,0,17,3,1,80,1,2,2,1,0,0,0
No,91,STAFF-91,Female,Sales Executive,No,3,4,High School,1,57,2,3,5473,24668,7,11,3,4,80,0,20,2,4,3,1,3
No,94,STAFF-94,Male,Research Scientist,No,2,5,Bachelor's Degree,3,76,1,2,2703,4956,0,23,4,4,80,1,6,3,5,4,0,4
No,95,STAFF-95,Male,Research Scientist,No,2,1,Master's Degree,3,87,1,2,2501,18775,1,17,3,2,80,0,1,3,1,1,1,0
No,96,STAFF-96,Male,Research Scientist,No,2,10,Bachelor's Degree,2,66,2,2,6220,7346,1,17,3,2,80,2,10,3,10,4,0,9
No,97,STAFF-97,Female,Laboratory Technician,No,4,1,Bachelor's Degree,2,55,1,4,3038,22002,3,12,3,2,80,0,5,3,1,0,0,0
No,98,STAFF-98,Female,Manufacturing Director,No,4,11,Master's Degree,3,61,2,4,4424,20682,1,23,4,4,80,0,11,3,11,7,1,8
No,100,STAFF-100,Male,Sales Executive,No,1,15,Master's Degree,3,32,2,1,4312,23016,0,14,3,2,80,0,16,3,15,13,2,8
No,101,STAFF-101,Male,Research Director,Yes,1,0,Master's Degree,4,52,3,1,13245,15067,4,14,3,2,80,0,17,4,0,0,0,0
No,102,STAFF-102,Male,Research Director,No,3,5,Master's Degree,1,30,3,3,13664,25258,4,13,3,1,80,0,16,4,5,2,0,2
No,103,STAFF-103,Male,Human Resources,Yes,2,4,Associates Degree,2,80,2,2,5021,10425,8,22,4,4,80,1,16,3,4,2,0,2
No,104,STAFF-104,Male,Laboratory Technician,Yes,4,10,High School,4,55,2,4,5126,15998,1,12,3,3,80,2,10,2,10,8,3,0
No,105,STAFF-105,Male,Research Scientist,No,3,6,Bachelor's Degree,2,30,1,3,2859,26278,1,18,3,1,80,0,6,3,6,4,0,4
No,106,STAFF-106,Male,Sales Executive,No,4,1,Associates Degree,1,70,3,4,10239,18092,3,14,3,4,80,1,24,3,1,0,1,0
No,107,STAFF-107,Female,Research Scientist,Yes,4,13,Bachelor's Degree,2,79,2,4,5329,15717,7,12,3,4,80,3,17,3,13,11,1,9
No,110,STAFF-110,Male,Manufacturing Director,No,2,5,Associates Degree,1,94,2,2,4325,17736,1,15,3,3,80,0,5,3,5,2,1,3
No,112,STAFF-112,Male,Manufacturing Director,No,4,6,Bachelor's Degree,4,49,3,4,7260,21698,4,11,3,1,80,0,37,2,6,4,0,2
No,113,STAFF-113,Male,Sales Representative,No,1,0,High School,3,62,1,1,2322,9518,3,13,3,3,80,1,3,3,0,0,0,0
No,116,STAFF-116,Male,Laboratory Technician,No,4,4,Master's Degree,4,96,1,4,2075,18725,3,23,4,2,80,2,10,3,4,2,0,3
No,117,STAFF-117,Male,Healthcare Representative,No,4,11,Bachelor's Degree,3,99,2,4,4152,15830,1,19,3,1,80,3,11,3,11,10,10,8
Yes,118,STAFF-118,Male,Sales Executive,No,4,9,Associates Degree,3,64,3,4,9619,13596,1,16,3,4,80,0,9,3,9,8,4,7
No,119,STAFF-119,Male,Healthcare Representative,No,2,22,Master's Degree,3,78,4,2,13503,14115,1,22,4,4,80,1,22,2,22,3,11,11
No,120,STAFF-120,Male,Sales Executive,Yes,4,10,Master's Degree,3,71,2,4,5441,8423,0,22,4,4,80,0,11,1,10,7,1,0
No,121,STAFF-121,Female,Sales Executive,Yes,2,11,Associates Degree,3,63,2,2,5209,19760,1,12,3,2,80,3,11,2,11,8,2,7
No,124,STAFF-124,Male,Healthcare Representative,Yes,1,10,Bachelor's Degree,3,40,3,1,10673,3142,2,13,3,3,80,1,21,2,10,9,9,5
No,125,STAFF-125,Male,Sales Executive,No,3,11,Master's Degree,2,87,2,3,5010,24301,1,16,3,1,80,0,12,3,11,8,5,7
No,126,STAFF-126,Female,Research Director,No,3,4,Master's Degree,1,60,3,3,13549,24001,9,12,3,1,80,1,16,1,4,3,0,3
No,128,STAFF-128,Female,Sales Executive,No,3,3,Associates Degree,1,33,2,3,4999,17519,0,21,4,1,80,1,4,2,3,2,0,2
No,129,STAFF-129,Male,Sales Executive,No,3,5,Bachelor's Degree,2,43,2,3,4221,8863,1,15,3,2,80,0,5,4,5,4,0,4
No,131,STAFF-131,Male,Sales Executive,No,3,37,Master's Degree,4,37,4,3,13872,24409,0,13,3,3,80,0,38,2,37,10,1,8
No,132,STAFF-132,Male,Laboratory Technician,No,2,3,Bachelor's Degree,2,67,2,2,2042,25043,4,12,3,3,80,1,17,4,3,2,1,2
Yes,133,STAFF-133,Male,Human Resources,Yes,1,3,Master's Degree,3,63,1,1,2073,23648,4,22,4,4,80,0,7,3,3,2,0,2
No,134,STAFF-134,Male,Research Scientist,No,1,1,High School,4,71,1,1,2956,15178,1,13,3,4,80,0,1,3,1,0,0,0
Yes,137,STAFF-137,Female,Laboratory Technician,Yes,4,1,Bachelor's Degree,4,66,1,4,2926,19783,1,18,3,2,80,0,1,3,1,0,1,0
No,138,STAFF-138,Female,Research Scientist,No,3,16,Master's Degree,1,41,2,3,4809,12482,1,14,3,3,80,0,16,3,16,13,2,10
No,139,STAFF-139,Male,Healthcare Representative,No,4,1,Associates Degree,3,100,2,4,5163,15850,5,14,3,4,80,1,17,4,1,0,0,0
No,140,STAFF-140,Female,Manager,No,4,3,Master's Degree,3,32,5,4,18844,21922,9,21,4,4,80,1,30,3,3,2,2,2
No,141,STAFF-141,Female,Research Director,Yes,2,8,Bachelor's Degree,1,73,5,2,18172,9755,3,19,3,1,80,0,28,2,8,3,0,7
Yes,142,STAFF-142,Male,Sales Executive,Yes,3,6,Bachelor's Degree,3,46,2,3,5744,26959,1,11,3,4,80,0,6,3,6,4,0,3
No,143,STAFF-143,Male,Research Scientist,No,4,2,High School,4,64,1,4,2889,26897,1,11,3,3,80,2,2,3,2,2,2,1
No,144,STAFF-144,Female,Laboratory Technician,No,4,0,Bachelor's Degree,2,59,1,4,2871,23785,1,15,3,3,80,0,1,3,0,0,0,0
No,145,STAFF-145,Female,Healthcare Representative,No,1,13,Master's Degree,1,30,3,1,7484,25796,3,20,4,3,80,0,23,2,13,12,12,8
Yes,147,STAFF-147,Male,Laboratory Technician,Yes,3,9,Bachelor's Degree,1,66,2,3,6074,22887,1,24,4,4,80,0,9,3,9,7,0,6
No,148,STAFF-148,Female,Manager,Yes,4,5,Bachelor's Degree,4,30,4,4,17328,13871,2,12,3,3,80,0,23,3,5,3,4,4
No,150,STAFF-150,Male,Laboratory Technician,No,3,5,High School,2,52,1,3,2774,13257,0,12,3,3,80,1,6,3,5,3,1,2
No,151,STAFF-151,Female,Research Scientist,No,2,1,Master's Degree,3,45,2,2,4505,15000,6,15,3,3,80,1,12,3,1,0,0,0
No,152,STAFF-152,Male,Sales Executive,No,4,5,Bachelor's Degree,3,87,3,4,7428,14506,2,12,3,1,80,0,12,3,5,3,1,3
No,153,STAFF-153,Female,Manager,No,1,11,Bachelor's Degree,3,45,3,1,11631,5615,2,12,3,4,80,0,14,3,11,10,5,8
No,154,STAFF-154,Female,Sales Executive,No,4,9,Associates Degree,2,92,3,4,9738,22952,0,14,3,3,80,1,10,3,9,7,2,8
No,155,STAFF-155,Female,Laboratory Technician,No,4,1,Associates Degree,1,39,1,4,2835,2561,5,22,4,1,80,1,7,3,1,0,0,0
No,158,STAFF-158,Male,Manager,Yes,4,25,Associates Degree,3,92,4,4,16959,19494,1,12,3,4,80,2,25,4,25,12,4,12
No,159,STAFF-159,Male,Research Scientist,No,3,10,Bachelor's Degree,1,96,1,3,2613,22310,1,25,4,3,80,3,10,2,10,7,0,9
No,160,STAFF-160,Male,Sales Executive,No,2,7,Associates Degree,3,95,2,2,6146,15480,0,13,3,1,80,1,8,4,7,7,0,7
Yes,161,STAFF-161,Female,Research Scientist,Yes,2,5,Master's Degree,2,72,1,2,4963,4510,9,18,3,1,80,3,7,3,5,4,4,3
No,162,STAFF-162,Male,Research Director,No,3,20,Bachelor's Degree,1,51,5,3,19537,6462,7,13,3,3,80,0,23,3,20,18,15,15
Yes,163,STAFF-163,Male,Sales Executive,Yes,3,7,Master's Degree,2,76,2,3,6172,20739,4,18,3,2,80,0,12,2,7,7,7,7
No,164,STAFF-164,Female,Research Scientist,No,2,5,Bachelor's Degree,3,46,1,2,2368,23300,1,19,3,3,80,0,5,2,5,4,4,3
Yes,165,STAFF-165,Female,Healthcare Representative,No,4,40,Master's Degree,4,94,3,4,10312,3465,1,12,3,4,80,1,40,2,40,10,15,6
Yes,167,STAFF-167,Male,Sales Representative,Yes,3,0,High School,4,50,1,3,1675,26820,1,19,3,4,80,0,0,2,0,0,0,0
No,169,STAFF-169,Male,Laboratory Technician,No,4,2,High School,3,100,1,4,2523,19299,0,14,3,3,80,1,3,3,2,1,2,1
No,170,STAFF-170,Female,Manufacturing Director,No,1,15,Master's Degree,3,96,2,1,6567,5549,1,14,3,3,80,0,16,2,15,11,5,11
No,171,STAFF-171,Female,Research Scientist,No,3,3,Bachelor's Degree,2,72,1,3,4739,16090,4,12,3,4,80,0,18,3,3,2,1,2
No,174,STAFF-174,Female,Sales Executive,No,4,2,Bachelor's Degree,3,77,3,4,9208,6645,4,11,3,4,80,0,16,3,2,2,2,1
Yes,175,STAFF-175,Female,Sales Executive,Yes,3,2,Bachelor's Degree,2,71,2,3,4559,24788,3,11,3,3,80,1,4,3,2,2,2,2
No,176,STAFF-176,Male,Sales Executive,Yes,3,9,High School,3,96,3,3,8189,21196,3,13,3,3,80,1,12,3,9,7,0,7
No,177,STAFF-177,Female,Human Resources,No,3,8,High School,3,61,1,3,2942,8916,1,23,4,4,80,1,8,3,8,7,5,7
No,178,STAFF-178,Male,Manufacturing Director,No,2,3,Associates Degree,2,84,2,2,4941,2819,6,20,4,4,80,2,7,3,3,2,0,1
Yes,179,STAFF-179,Male,Manufacturing Director,No,4,4,Master's Degree,1,53,3,4,10650,25150,2,15,3,4,80,0,18,3,4,2,0,3
No,182,STAFF-182,Female,Sales Executive,No,3,15,Master's Degree,4,47,2,3,5902,14590,4,14,3,3,80,1,17,4,15,11,5,9
No,183,STAFF-183,Male,Sales Executive,No,3,2,Bachelor's Degree,1,41,2,3,8639,24835,2,18,3,4,80,0,6,3,2,2,2,2
No,184,STAFF-184,Male,Human Resources,Yes,4,11,Bachelor's Degree,3,48,2,4,6347,13982,0,19,3,4,80,0,12,1,11,9,4,7
Yes,190,STAFF-190,Female,Laboratory Technician,No,1,5,Bachelor's Degree,1,41,1,1,4200,10224,7,22,4,1,80,0,10,4,5,4,0,4
No,192,STAFF-192,Male,Research Scientist,No,4,6,Bachelor's Degree,3,83,1,4,3452,9752,5,13,3,2,80,0,9,2,6,5,0,3
No,193,STAFF-193,Female,Research Scientist,Yes,3,3,Doctoral Degree,4,32,2,3,4317,2302,3,20,4,2,80,0,19,3,3,2,2,2
No,194,STAFF-194,Female,Research Scientist,No,3,5,Bachelor's Degree,1,75,1,3,2632,23910,1,14,3,3,80,0,5,2,5,4,0,4
No,195,STAFF-195,Male,Sales Executive,No,4,8,Associates Degree,4,35,2,4,4668,22812,0,17,3,4,80,3,9,4,8,7,0,7
No,197,STAFF-197,Female,Research Scientist,No,1,3,Bachelor's Degree,4,84,1,1,3204,10415,5,14,3,4,80,1,8,3,3,2,2,2
No,198,STAFF-198,Male,Laboratory Technician,No,4,5,High School,2,35,1,4,2720,11162,0,13,3,4,80,0,6,3,5,3,1,2
No,199,STAFF-199,Male,Manager,No,1,7,Bachelor's Degree,4,91,4,1,17181,12888,4,13,3,2,80,1,21,2,7,6,7,7
No,200,STAFF-200,Male,Laboratory Technician,No,1,5,Master's Degree,3,94,1,1,2238,6961,2,21,4,4,80,1,7,3,5,0,1,4
No,201,STAFF-201,Female,Laboratory Technician,No,2,1,High School,2,79,1,2,1483,16102,1,14,3,4,80,0,1,3,1,0,0,0
No,202,STAFF-202,Female,Research Scientist,No,2,20,Bachelor's Degree,2,54,2,2,5605,8504,1,11,3,1,80,1,20,3,20,7,2,13
No,204,STAFF-204,Male,Sales Executive,No,2,10,Doctoral Degree,3,94,3,2,7295,11439,1,13,3,1,80,2,10,3,10,8,0,6
No,205,STAFF-205,Male,Sales Representative,Yes,3,7,Associates Degree,2,34,2,3,2306,16047,2,20,4,4,80,1,13,1,7,7,4,5
No,206,STAFF-206,Male,Laboratory Technician,No,2,17,Bachelor's Degree,2,60,2,2,2348,10901,8,18,3,3,80,1,20,1,17,9,0,15
No,207,STAFF-207,Female,Sales Executive,No,4,9,Bachelor's Degree,2,43,3,4,8998,15589,1,14,3,4,80,0,9,3,9,8,3,7
No,208,STAFF-208,Male,Manufacturing Director,No,3,10,High School,4,41,2,3,4319,26283,1,13,3,1,80,1,10,3,10,7,0,9
No,211,STAFF-211,Male,Manufacturing Director,No,3,1,Master's Degree,2,34,2,3,6132,13983,2,17,3,3,80,0,10,3,1,0,0,0
No,214,STAFF-214,Female,Research Scientist,Yes,2,1,Bachelor's Degree,2,75,1,2,3346,11873,4,20,4,2,80,1,9,2,1,0,0,0
No,215,STAFF-215,Male,Sales Executive,No,4,12,Master's Degree,3,67,3,4,10855,8552,7,11,3,1,80,1,15,2,12,11,2,11
No,216,STAFF-216,Female,Sales Representative,No,3,4,Master's Degree,3,75,1,3,2231,11314,6,18,3,4,80,1,6,3,4,3,1,2
No,217,STAFF-217,Male,Research Scientist,No,4,2,High School,3,80,1,4,2323,11992,1,24,4,1,80,2,2,3,2,2,2,2
No,218,STAFF-218,Male,Research Scientist,No,2,2,Bachelor's Degree,4,57,1,2,2024,5970,6,18,3,4,80,1,6,1,2,2,2,2
No,221,STAFF-221,Male,Research Scientist,No,4,5,Bachelor's Degree,3,42,1,4,2713,6672,1,11,3,3,80,1,5,1,5,2,0,2
No,223,STAFF-223,Male,Healthcare Representative,Yes,4,5,Associates Degree,3,83,3,4,9439,23402,3,16,3,2,80,1,12,1,5,3,1,4
No,224,STAFF-224,Male,Research Scientist,Yes,3,1,Bachelor's Degree,3,79,1,3,2566,25326,1,15,3,4,80,1,1,2,1,1,0,1
No,226,STAFF-226,Female,Manager,No,2,5,Bachelor's Degree,3,53,5,2,19926,17053,3,15,3,2,80,0,21,3,5,4,4,4
No,227,STAFF-227,Male,Research Scientist,No,3,9,Bachelor's Degree,1,56,1,3,2451,4609,4,12,3,1,80,1,13,3,9,8,1,8
No,228,STAFF-228,Female,Sales Executive,No,4,10,Bachelor's Degree,2,41,3,4,9419,8053,2,12,3,3,80,1,12,3,10,9,7,4
No,230,STAFF-230,Female,Sales Executive,No,4,8,Master's Degree,1,59,2,4,8686,12930,4,22,4,3,80,0,12,4,8,3,0,7
No,231,STAFF-231,Male,Research Scientist,No,3,5,Doctoral Degree,3,43,1,3,3038,12430,3,20,4,1,80,0,8,3,5,4,1,4
No,233,STAFF-233,Male,Research Scientist,Yes,2,5,Bachelor's Degree,3,51,1,2,3058,13364,0,16,3,4,80,1,6,2,5,2,1,1
Yes,235,STAFF-235,Female,Sales Representative,No,1,0,High School,3,100,1,1,2325,20989,0,21,4,1,80,0,1,4,0,0,0,0
No,238,STAFF-238,Male,Laboratory Technician,No,2,8,Associates Degree,4,30,1,2,2088,15062,4,12,3,3,80,0,13,2,8,7,7,2
No,239,STAFF-239,Male,Laboratory Technician,No,1,12,Bachelor's Degree,3,66,2,1,3072,11012,1,11,3,3,80,2,12,3,12,9,6,10
No,240,STAFF-240,Female,Sales Executive,Yes,1,5,Associates Degree,3,30,2,1,5006,6319,4,11,3,1,80,1,9,4,5,4,0,3
No,241,STAFF-241,Female,Research Scientist,Yes,1,2,Bachelor's Degree,3,67,1,1,4257,13939,4,18,3,3,80,1,19,3,2,2,2,2
No,242,STAFF-242,Male,Research Scientist,No,4,3,Bachelor's Degree,3,90,1,4,2500,10515,0,14,3,1,80,0,4,4,3,1,0,2
Yes,243,STAFF-243,Male,Laboratory Technician,No,4,1,Bachelor's Degree,2,47,1,4,1102,9241,1,22,4,3,80,0,1,2,1,0,1,0
No,244,STAFF-244,Female,Sales Executive,No,1,24,Associates Degree,2,92,3,1,10453,2137,1,25,4,3,80,3,24,3,24,13,15,7
No,245,STAFF-245,Female,Laboratory Technician,No,4,2,Associates Degree,3,75,1,4,2288,6319,1,12,3,3,80,0,2,3,2,2,2,1
No,246,STAFF-246,Female,Research Scientist,Yes,4,4,High School,3,95,1,4,3929,6984,8,23,4,3,80,1,7,3,4,2,0,2
No,247,STAFF-247,Female,Research Scientist,No,2,3,Associates Degree,4,95,1,2,2311,5711,2,15,3,4,80,0,9,3,3,2,1,2
Yes,248,STAFF-248,Female,Sales Representative,Yes,2,4,Associates Degree,2,70,1,2,3140,21728,1,22,4,4,80,0,4,2,4,3,0,2
